id,categoria_id,categoria_titulo,artigo_titulo,artigo_conteudo
"teste, conteudo, formatação",06_ferramentas,Ferramentas do Agente,nova rotina de formatação,"<p>novo sistema de inserção de conteúdos. sucesso na fonte de digitação e <b>negrito no editor</b>&nbsp;ativado, com atalho de teclado válido. <i>Italico disponivel</i><div><ul><li>e temos aqui\n</li><li>topicos\n</li><li>para listagem\n</li></ul></div></p>"
"teste de conteúdo, testeteste",06_ferramentas,Ferramentas do Agente,NOVA FERRAMENTA DE PREENCHIMENTO,"inserir os textos ficou mais fácil.. 

agora temos formatação automática por inteligência artificial. 

falta adicionar opções de negrito "
"Antecipação, contratar",01_antecipação,Antecipação,(temp) Pedidos de Antecipação Temporariamente Suspensos,"Informamos que, no momento, as antecipações e os pedidos de antecipação em andamento estão temporariamente suspensos.\nEsta pausa é necessária para podermos realizar adequações técnicas e preparar o aplicativo para futuras melhorias.\nAssim que o App for atualizado e este período de ajustes for concluído, a funcionalidade de antecipação será reativada. Você será notificado assim que for possível enviar um novo pedido.\nAgradecemos a sua compreensão enquanto trabalhamos para aprimorar sua experiência. Permanecemos à disposição para auxiliar no que for preciso.
"
"restituição, pagamento, data",01_antecipação,Antecipação,Restituição em lote anterior ao contrato,"<strong>Entendendo os Custos da Antecipação</strong><p>A antecipação da sua restituição de imposto de renda é contratada por um valor fixo, que já inclui os juros e taxas acordados no momento do serviço.</p><p>Isso ocorre porque, no momento da contratação, é impossível prever a data exata em que sua restituição estará disponível, tanto para você quanto para o Velotax. A data do seu lote de restituição não interfere no custo do serviço de antecipação, e a data constante na CCB é, por padrão, a data do último lote padrão previsto, para que todo o período de pagamento das restituições esteja coberto, e clientes dos últimos lotes não sejam considerados inadimplentes.&nbsp;</p><strong>Como quitar a Dívida</strong><p>Se você precisa quitar Antecipação 2025, o processo é simples e seguro! O botão de quitação aparece assim que você acessa a visualização desse ano.</p><strong>Passo a Passo</strong><p>Na tela inicial do aplicativo, você vê a seção Histórico.\nDentro do Histórico, toque no ano 2025.\nFeito isso, o botão Quitar Operação aparecerá. Toque nele para prosseguir.</p><strong>Verificação de Segurança</strong><p>Para sua segurança, após tocar em ""Quitar Operação"", faremos uma verificação em duas etapas:\nVocê terá a opção de escolher como quer receber o código de segurança:\nPor E-mail: o código será enviado para o e-mail cadastrado em sua conta.\nPor SMS: o código será enviado para o número de celular cadastrado.\nApós selecionar sua opção, insira o código recebido para finalizar a operação.</p>"
"pagamento, antecipação, portabilidade, negado, falha",01_antecipação,Antecipação,"Antecipação negada ao usuário: Oferta indisponível
","<p>As telas a seguir são apresentadas ao usuário que tenta a antecipação do IRPF, mas não terá o crédito disponibilizado pelos critérios do app.</p><p><strong>Ocorreu um erro, infelizmente não será possível seguir com a sua operação</strong>\nQuando a mensagem exibida é “ocorreu um erro, infelizmente não será possível seguir com a sua operação”, o cliente não tem oferta de antecipação disponível para aquisição no momento. [IMAGEM:1hjKY9xOulwsUxComEfeswfYmE4EGD9hk] </p><p><strong>Não será possível fazer a antecipação</strong>\nQuando o cliente visualiza a mensagem com a informação de que não será possível fazer a antecipação, ele deve ter sido reprovado em algum dos critérios de avaliação que o considerou inapto. No entanto, se ele não tem acesso a outras telas clicando na seta do canto superior esquerdo ou no botão continuar, o problema pode estar relacionado ao cachê. Oriente a limpeza dos dados do app antes de prosseguir. [IMAGEM:10HvXXCy8hI_yOM1amIDMcY1ObXbygoj1] </p><p><strong>Limite inadequado</strong>\nSe o cliente recebeu a mensagem sobre o limite inadequado, ele não atingiu o valor mínimo de restituição para antecipar, ou extrapolou o valor máximo. </p>[IMAGEM:1d5srs1Jx3FCIOd2YQhHoHkCPl0UTTMMB]"
"restituição, pagamento, data, pix, antecipação",01_antecipação,Antecipação,Posso usar qualquer chave pix para antecipação?,"<p>Não. Apenas a chave PIX que utiliza seu CPF poderá ser utilizada na conta Velobank para o processo de antecipação, ou cobrança retida da taxa de uso do app.&nbsp;</p><p>Essa limitação ocorre por razão de segurança e garantia de que nenhum terceiro efetue operações de crédito em seu nome.&nbsp;</p><p>Da mesma forma, isso garante que não haja algum equívoco em relação ao direcionamento da restituição no lote da Receita que impeça a quitação do crédito gerado para a Antecipação.</p>"
"pagamento, data, pix, antecipação, portabilidade",01_antecipação,Antecipação,Posso retirar minha chave Pix do Velobank a qualquer momento?,"<p>A portabilidade da chave PIX para uma instituição de sua escolha é um direito do cidadão, e o Velotax assegura isso a todos os seus usuários.&nbsp;</p><p>Ao contratar o serviço e concordar com os termos, o cliente declara estar ciente de que sua chave PIX vinculada ao CPF será associada ao Velobank até a quitação da Antecipação, que ocorre com o depósito da Restituição pela Receita Federal na data do seu lote.&nbsp;</p><p>Caso o usuário opte por trocar de instituição antes da data da restituição, isso será considerado uma quebra de contrato. Consequentemente, será necessário efetuar o pagamento imediato e integral do valor devido, sem a possibilidade de descontos ou renegociações.&nbsp;</p><p>Se você deseja prosseguir com a portabilidade da chave PIX, basta entrar em contato com nosso atendimento e solicitar.&nbsp;</p>"
"Px, Portabilidade, remover",01_antecipação,Antecipação,Portabilidade Pix: Passo a Passo,"<strong>Passo a passo para solicitar a portabilidade da chave PIX (CPF)</strong><p>1️⃣ Cadastre sua chave PIX (CPF) no banco de sua preferência.\n2️⃣ O banco enviará um pedido de portabilidade da chave que está no Velotax.\n3️⃣ Acesse o app Velotax.\n4️⃣ Vá em Minha Área PIX > Minhas chaves PIX.\n5️⃣ Ao lado do seu CPF, aparecerá a opção “Portabilidade”.\n6️⃣ Clique em ""Aceito"" para confirmar.</p><p>✅ Pronto! Sua chave PIX será transferida de volta para o seu banco.</p>"
"Restituição, Declaração, não creditada,",02_restituição,Restituição e Declaração,Restituição não Creditada,"<p>Se você está cadastrado para receber no primeiro lote da restituição do Imposto de Renda de 30/05/2025 e ainda não visualizou o crédito no app Velotax, fique tranquilo. Alguns clientes não receberam e o valor ficou disponível para resgate manual no site do Banco do Brasil.</p><p>Siga o passo a passo abaixo para solicitar o valor:</p><strong>🟡 Etapa 1: Como solicitar o resgate da restituição</strong><p>Acesse o site oficial do Banco do Brasil:\n<a href=""https://www49.bb.com.br/restituicao/#/pagina-inicial"" target=""_blank"">https://www49.bb.com.br/restituicao/#/pagina-inicial</a><br>Preencha os campos solicitados:\nCPF\nValor da restituição\nMarque a caixa ""Não sou um robô""\nClique em ""Confirmar""\nClique no botão verde que aparecerá na tela (Ação)\nEscolha o banco de sua preferência e informe os dados da sua conta.\nNo campo “Número do recibo da declaração”, insira o número que está no seu recibo de entrega da declaração IRPF 2024.\nClique em ""Agendar crédito"".</p><p>Para encontrar esse número:\nAbra o app Velotax\nVá em “Meus Documentos”\nSelecione o ano 2025\nClique em “Recibo da Declaração”\nO número estará destacado na segunda página do documento.</p><strong>🟢 Etapa 2: Como quitar sua antecipação no app Velotax</strong><p>Assim que o valor for creditado, você poderá fazer a quitação da antecipação diretamente no aplicativo Velotax.</p><p>Vá ao seu banco e cadastre sua chave PIX (CPF).\nO banco enviará um pedido de portabilidade da chave para o Velotax.</p><p>Acesse o app Velotax:\nVá em ""Minha Área PIX"" > ""Minhas chaves PIX""\nAo lado do seu CPF, aparecerá a palavra “Portabilidade”\nClique nessa opção e siga as instruções na tela.\nAo final do processo, você verá as opções para quitação: Pix ou Cartão de crédito</p><p>Após o pagamento, o contrato será considerado quitado e sua chave PIX estará vinculada no seu banco.</p><p>Se tiver dúvidas durante qualquer etapa, nossa equipe está à disposição para te ajudar!</p>"
teste de update,03_Calculadora e Darf,Calculadora,teste,teste teste teste 
