topico,contexto,Palavras_chave,URLs de Imagens
"E-MAIL DA PROCURAÇÃO, e-mail da procuração","A intenção do envio do e-mail foi justamente reforçar nosso compromisso com a transparência.
Essa autorização é algo comum em serviços contábeis e fiscais e serve apenas para facilitar o acompanhamento da sua declaração junto à Receita, sem qualquer risco para seus dados bancários ou movimentações financeiras.
Mas, claro: se você preferir revogar, é só acessar o site do e-CAC e fazer o cancelamento de forma simples e segura. A gente continua à disposição para te orientar, com o máximo respeito pela sua autonomia.","procuração, email",
esta no lote,"Informe ao cliente  que verifique no portal E-CAC, la consta que houve um problema na hora do pagamento do lote, e informe a ele que acesse o site do BB restituição e faça o resgate do valor, mas antes, tenta fazer pelo cliente no site",cliente está no lote e agora?,https://www49.bb.com.br/restituicao/#/pagina-inicial
não esta no lote,"Informe ao cliente que ele não esta contemplado neste lote, e peça para ele que verifique no site de consulta quando estiver proximo dos outros lotes, diga que é algo da Receita Federal, a Velotax, não consegue alterar nada sobre os lotes",cliente não está no lote e agora?,
como funciona o agendamento?,"A própria Receita Federal orienta que o contribuinte realize o agendamento de forma direta. Ao acessar o Portal e-CAC ou o app Meu Imposto de Renda (MIR), é possível visualizar essa mesma orientação.

Assim, reforçamos que essa exigência não parte da Velotax, e sim da Receita, e o contribuinte pode confirmar a informação acessando essas plataformas.
",como aparece na Receita Federal?,https://github.com/velobot05/Chatbot-Atendimento/blob/main/imagens/image%20(1).png?raw=true
cliente não recebeu,"Nos casos que o cliente não recebeu sua  restituição primeiro verifique se o mesmo estava cadastrado para lotes antigos logo após informe a ele que o valor esta disponivel no site do Banco do Brasil, tente fazer o resgate para o cliente e acima de tudo VERIFIQUE SE O CLIENTE ESTA NO RESPECTIVO LOTE, NO SITE/ Caso o mesmo esteja no lote atual siga as instruções que os gestores passaram.","não recebeu, cliente não recebeu, ciente ainda não recebeu, cliente nao recebeu",https://www.restituicao.receita.fazenda.gov.br/
Portabilidade de Chave PIX com Débito,"Informe ao cliente que se ele fizer o débito da antecipação, seja com o valor da restituição ou não, a chave pix é automaticamente liberada, antes da quitação do débito. o valor a ser quitado pode ou não ter o desconto agora caso o cliente não queira pagar explique as condições da retirada da chave pix e escale para o N2.","portabilidade com pagamento, retida",
Exclusão de Cadastro,"Podemos excluir a conta do cliente quando ele solicitar, mas antes é importante:

Verificar pendências:
Avisar o cliente se houver débitos em aberto ou planos ativos.

Atenção legal:
A conta pode ser excluída, mas os débitos continuam válidos, conforme contrato.

Planos de assinatura (ex: calculadora):
Informar que o plano é válido por 12 meses, mesmo com a exclusão da conta.
👉 Exceção: pode ser cancelado em até 7 dias corridos após a compra (direito do consumidor).
Clientes com antecipação:
(Aqui você pode completar com a orientação específica para esse caso, se quiser ajuda com isso.)
Verificar se houve quitação.
Caso negativo, orientar:
Efetuar o pagamento pendente; ou
Aguardar restituição para regularização.
Insistência na exclusão:
Comunicar que a solicitação será encaminhada à equipe responsável, que entrará em contato com detalhes sobre os procedimentos e implicações.
envie para N2","exclusão,finalização, cadastro, Quero fazer a exclusão da minha conta",
Erro no Aplicativo,"Se está enfrentando um erro ou bug, peça mais detalhes do erro, se possível prints da tela e verifique no Octa se consta erro no processamento da antecipação ou algo do tipo. Se consta erro no Octa, envie no grupo do chat do Google o CPF e o erro citado no Octa. Caso não conste, se o cliente enviar um print, analise ou peça ajuda para saber o procedimento diante daquele erro do app do cliente.","aplicativo,sistema,suporte",
Divergência em Valores de Antecipação,"Se o cliente questiona o valor que foi antecipado ou o valor para quitação, informe que estes valores foram devidamente mostrados antes de contratar e durante também, nas telas do app onde mostrava os valores oferecidos e quanto ficaria para pagamento futuro. Se ele falar sobre a data de vencimento do contrato, diga que é uma base para os cálculos, mas que os valores são fixos e não têm como alterá-los.Verifique se está disponivel, e informe sobre q quitação antecipada com o desconto, mas somente nos casos que o cliente falar que irá acionar a justiça",Cliente questionou o debito integral da restituição,
Atualização de E-mail,"Guia para Alteração de E-mail Ou Telefone do Cliente

1. Solicitação Inicial: 
Solicitar o CPF do cliente e o novo e-mail desejado.
Pedir para confirmar o e-mail antigo cadastrado.

2. Confirmação do Novo E-mail: 
Enviar a macro de saudação para o novo e-mail.
Solicitar ao cliente que confirme o recebimento.
Assim que confirmado, enviar a macro [Atendimento] Troca de e-mail - Validação com foto.

Ajuste Temporário do Telefone

Para que a alteração seja salva, também é necessário alterar temporariamente o telefone.
Alterar um dígito do número cadastrado.

Salvar as alterações.

Reverter a alteração no telefone para o número correto e salvar novamente.

Notificação ao Cliente
Enviar um e-mail informando que a alteração foi realizada com sucesso.
Se colocar à disposição para dúvidas ou esclarecimentos adicionais.

3. Validação da Identidade: 
Explicar ao cliente que será necessário que ele tenha um documento com foto em mãos.
Ele deve tirar uma selfie segurando o documento ao lado do rosto.
As informações no documento devem estar claras, e o rosto do cliente visível.
Caso a imagem recebida não esteja adequada, solicitar uma nova verificação ao cliente.

4. Acessando a Plataforma para Alterar o E-mail: 
Solicitar ao supervisor um token de acesso à plataforma.
Acessar a calculadora do cliente pelo link:

""https://app.velotax.com.br/p/ssyo/(cole aqui o token)""

Segue passos
","E-mail, email atualização,e-mail","https://github.com/velobot05/Chatbot-Atendimento/blob/main/imagens/Captura%20de%20tela%202025-06-26%20141315.png?raw=true,

https://github.com/velobot05/Chatbot-Atendimento/blob/main/imagens/Captura%20de%20tela%202025-06-26%20141327.png?raw=true"
